sort,synbiome
1,Rock and Ice
2,Tundra
3,Boreal/Subalpine Forest
4,Temperate Coniferous Forest
5,Temperate Mixed Forest
6,Temperate Deciduous Forest
7,Temperate Oak Forest
8,Temperate Pine Forest
9,Tallgrass Prairie
10,Temperate Grassland
11,Cool Xeric Woodland
12,Shrub-steppe
13,Cool Desert
14,Salt Desert
15,Subtropical Mixed Forest
16,Warm Xeric Woodland
17,Chaparral
18,Semidesert Grassland
19,Warm Desert
20,Montane Grassland
21,Tropical Montane Forest
22,Tropical Moist Forest
23,Tropical Semi-evergreen Forest
24,Tropical Pine Forest
25,Tropical Dry Forest
26,Tropical/Subtropical Savanna
27,Tropical/Subtropical Thornscrub
28,Cool Swamp
29,Warm Swamp
30,Freshwater Marsh
31,Salt Marsh
32,Mangroves
