VALUE,BPS_NAME,legend
1821,Central and Southern Appalachian Spruce-Fir Forest,Boreal/Subalpine Forest
1878,Central and Southern Appalachian Spruce-Fir Forest,Boreal/Subalpine Forest
1897,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Boreal/Subalpine Forest
1928,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Boreal/Subalpine Forest
1929,Acadian-Appalachian Montane Spruce-Fir Forest,Boreal/Subalpine Forest
1950,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Boreal/Subalpine Forest
1951,Acadian-Appalachian Montane Spruce-Fir Forest,Boreal/Subalpine Forest
1986,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Boreal/Subalpine Forest
1987,Acadian-Appalachian Montane Spruce-Fir Forest,Boreal/Subalpine Forest
416,Rocky Mountain Aspen Forest and Woodland,Boreal/Subalpine Forest
420,Northern Rocky Mountain Subalpine Woodland and Parkland,Boreal/Subalpine Forest
424,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Boreal/Subalpine Forest
425,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Boreal/Subalpine Forest
454,Rocky Mountain Aspen Forest and Woodland,Boreal/Subalpine Forest
459,Northern Rocky Mountain Subalpine Woodland and Parkland,Boreal/Subalpine Forest
464,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Boreal/Subalpine Forest
465,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Boreal/Subalpine Forest
493,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Boreal/Subalpine Forest
496,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Boreal/Subalpine Forest
579,Rocky Mountain Aspen Forest and Woodland,Boreal/Subalpine Forest
582,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Boreal/Subalpine Forest
598,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Boreal/Subalpine Forest
622,Rocky Mountain Aspen Forest and Woodland,Boreal/Subalpine Forest
625,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Boreal/Subalpine Forest
