path	name	Latin Name	Common Name
tree_atlas_dd83/a-b/abieamab.shp	abieamab	Abies amabilis	Pacific silver fir
tree_atlas_dd83/a-b/abiebals.shp	abiebals	Abies balsamea	balsam fir
tree_atlas_dd83/a-b/abiebrac.shp	abiebrac	Abies bracteata	bristlecone fir
tree_atlas_dd83/a-b/abieconc.shp	abieconc	Abies concolor	white fir
tree_atlas_dd83/a-b/abiefras.shp	abiefras	Abies fraseri	Fraser fir
tree_atlas_dd83/a-b/abiegran.shp	abiegran	Abies grandis	grand fir
tree_atlas_dd83/a-b/abielasi.shp	abielasi	Abies lasiocarpa	subalpine fir
tree_atlas_dd83/a-b/abiemagn.shp	abiemagn	Abies magnifica	California red fir
tree_atlas_dd83/a-b/abieproc.shp	abieproc	Abies procera	noble fir
tree_atlas_dd83/a-b/acacberl.shp	acacberl	Senegalia berlandieri	Berlandier acacia
tree_atlas_dd83/a-b/acacchor.shp	acacchor	Vachellia choriophylla	cinnecord
tree_atlas_dd83/a-b/acacfarn.shp	acacfarn	Vachellia farnesiana	sweet acacia
tree_atlas_dd83/a-b/acacgreg.shp	acacgreg	Senegalia greggii	catclaw acacia
tree_atlas_dd83/a-b/acacmacr.shp	acacmacr	Vachellia macracantha	long spine acacia
tree_atlas_dd83/a-b/acacrigi.shp	acacrigi	Vachellia rigidula	blackbrush acacia
tree_atlas_dd83/a-b/acacroem.shp	acacroem	Senegalia roemeriana	Roemer acacia
tree_atlas_dd83/a-b/acactort.shp	acactort	Vachellia tortuosa	twisted acacia
tree_atlas_dd83/a-b/acacwrig.shp	acacwrig	Senegalia wrightii	Wright acacia
tree_atlas_dd83/a-b/acerbarb.shp	acerbarb	Acer floridanum	Florida maple
tree_atlas_dd83/a-b/acercirc.shp	acercirc	Acer circinatum	vine maple
tree_atlas_dd83/a-b/acerglab.shp	acerglab	Acer glabrum	Rocky Mountain maple
tree_atlas_dd83/a-b/acergran.shp	acergran	Acer grandidentatum	bigtooth maple
tree_atlas_dd83/a-b/acerleuc.shp	acerleuc	Acer leucoderme	chalk maple
tree_atlas_dd83/a-b/acermacr.shp	acermacr	Acer macrophyllum	bigleaf maple
tree_atlas_dd83/a-b/acernegu.shp	acernegu	Acer negundo	boxelder
tree_atlas_dd83/a-b/acernigr.shp	acernigr	Acer nigrum	black maple
tree_atlas_dd83/a-b/acerpens.shp	acerpens	Acer pensylvanicum	striped maple
tree_atlas_dd83/a-b/acerrubr.shp	acerrubr	Acer rubrum	red maple
tree_atlas_dd83/a-b/acersacc.shp	acersacc	Acer saccharinum	silver maple
tree_atlas_dd83/a-b/acersacr.shp	acersacr	Acer saccharum	sugar maple
tree_atlas_dd83/a-b/acerspic.shp	acerspic	Acer spicatum	mountain maple
tree_atlas_dd83/a-b/acoewrig.shp	acoewrig	Acoelorrhaphe wrightii	paurotis palm
tree_atlas_dd83/a-b/aesccali.shp	aesccali	Aesculus californica	California buckeye
tree_atlas_dd83/a-b/aescglab.shp	aescglab	Aesculus glabra	Ohio buckeye
tree_atlas_dd83/a-b/aescocta.shp	aescocta	Aesculus flava	yellow buckeye
tree_atlas_dd83/a-b/aescparv.shp	aescparv	Aesculus parviflora	bottlebrush buckeye
tree_atlas_dd83/a-b/aescpavi.shp	aescpavi	Aesculus pavia	red buckeye
tree_atlas_dd83/a-b/aescsylv.shp	aescsylv	Aesculus sylvatica	painted buckeye
tree_atlas_dd83/a-b/agavutah.shp	agavutah	Agave utahensis	Utah agave
tree_atlas_dd83/a-b/alnumari.shp	alnumari	Alnus maritima	seaside alder
tree_atlas_dd83/a-b/alnuoblo.shp	alnuoblo	Alnus oblongifolia	Arizona alder
tree_atlas_dd83/a-b/alnurhom.shp	alnurhom	Alnus rhombifolia	white alder
tree_atlas_dd83/a-b/alnurubr.shp	alnurubr	Alnus rubra	red alder
tree_atlas_dd83/a-b/alnurugo.shp	alnurugo	Alnus rugosa	speckled alder
tree_atlas_dd83/a-b/alnuserr.shp	alnuserr	Alnus serrulata	hazel alder
tree_atlas_dd83/a-b/alnusinu.shp	alnusinu	Alnus sinuata	Sitka alder
tree_atlas_dd83/a-b/alnutenu.shp	alnutenu	Alnus tenuifolia	thinleaf alder
tree_atlas_dd83/a-b/alvaamor.shp	alvaamor	Alvaradoa amorphoides	Mexican alvaradoa
tree_atlas_dd83/a-b/amelalni.shp	amelalni	Amelanchier alnifolia	western serviceberry
tree_atlas_dd83/a-b/amelarbo.shp	amelarbo	Amelanchier arborea	downy serviceberry
tree_atlas_dd83/a-b/amelinte.shp	amelinte	Amelanchier interior	inland serviceberry
tree_atlas_dd83/a-b/amelsang.shp	amelsang	Amelanchier sanguinea	roundleaf serviceberry
tree_atlas_dd83/a-b/amelutah.shp	amelutah	Amelanchier utahensis	Utah serviceberry
tree_atlas_dd83/a-b/amphlati.shp	amphlati	Amphitecna latifolia	black calabash
tree_atlas_dd83/a-b/amyrbals.shp	amyrbals	Amyris balsamifera	balsam torchwood
tree_atlas_dd83/a-b/amyrelem.shp	amyrelem	Amyris elemifera	torchwood
tree_atlas_dd83/a-b/annoglab.shp	annoglab	Annona glabra	pond apple
tree_atlas_dd83/a-b/aralspin.shp	aralspin	Aralia spinosa	devils walkingstick
tree_atlas_dd83/a-b/arbuariz.shp	arbuariz	Arbutus arizonica	Arizona madrone
